the distance from the sun versus time in 1995:
sidereal year = 365.256366
1 astronomical unit, in km = 1.495978707d8
1995 vernal equinox = 79.09514 ut
aphelion distance in au = 1.01674
perihelion perihelion distance in au = 0.98330
apdate = 184.125; july 4, 3. ut
peridate = 3.375; january 4, 9. ut

average velocity = 29.784735 km s-1

   date r (au)   r (km)
 233.5  1.01161  1.51335e+08
 234.5  1.01140  1.51304e+08
 235.5  1.01119  1.51272e+08
 236.5  1.01098  1.51240e+08
 237.5  1.01076  1.51208e+08
 238.5  1.01054  1.51175e+08
 239.5  1.01032  1.51142e+08
 240.5  1.01009  1.51108e+08
 241.5  1.00987  1.51074e+08
 242.5  1.00963  1.51039e+08
 243.5  1.00940  1.51004e+08
 244.5  1.00916  1.50969e+08
 245.5  1.00892  1.50933e+08
 246.5  1.00868  1.50896e+08
 247.5  1.00843  1.50860e+08
 248.5  1.00819  1.50823e+08
 249.5  1.00794  1.50785e+08
 250.5  1.00768  1.50747e+08
 251.5  1.00743  1.50709e+08
 252.5  1.00717  1.50671e+08
 253.5  1.00691  1.50632e+08
 254.5  1.00665  1.50593e+08
 255.5  1.00639  1.50554e+08
 256.5  1.00612  1.50514e+08
 257.5  1.00586  1.50474e+08
 258.5  1.00559  1.50434e+08
 259.5  1.00532  1.50393e+08
 260.5  1.00504  1.50353e+08
 261.5  1.00477  1.50312e+08
 262.5  1.00450  1.50270e+08
 263.5  1.00422  1.50229e+08
 264.5  1.00394  1.50187e+08
 265.5  1.00366  1.50146e+08
 266.5  1.00338  1.50104e+08
 267.5  1.00310  1.50062e+08
 268.5  1.00282  1.50019e+08
 269.5  1.00254  1.49977e+08
 270.5  1.00225  1.49935e+08
 271.5  1.00197  1.49892e+08
 272.5  1.00168  1.49849e+08
 273.5  1.00139  1.49807e+08
 274.5  1.00111  1.49764e+08
 275.5  1.00082  1.49721e+08
 276.5  1.00053  1.49678e+08
 277.5  1.00025  1.49635e+08
 278.5  0.99996  1.49592e+08
 279.5  0.99967  1.49549e+08
 280.5  0.99938  1.49506e+08
 281.5  0.99910  1.49463e+08
 282.5  0.99881  1.49420e+08
 283.5  0.99852  1.49377e+08
 284.5  0.99824  1.49334e+08
 285.5  0.99795  1.49291e+08
 286.5  0.99766  1.49248e+08
 287.5  0.99738  1.49206e+08
 288.5  0.99709  1.49163e+08
 289.5  0.99681  1.49121e+08
 290.5  0.99653  1.49078e+08
 291.5  0.99625  1.49036e+08
 292.5  0.99597  1.48994e+08
 293.5  0.99569  1.48952e+08
 294.5  0.99541  1.48911e+08
 295.5  0.99513  1.48869e+08
 296.5  0.99485  1.48828e+08
 297.5  0.99458  1.48787e+08
 298.5  0.99431  1.48746e+08
 299.5  0.99404  1.48706e+08
 300.5  0.99377  1.48665e+08
 301.5  0.99350  1.48625e+08
 302.5  0.99323  1.48586e+08
 303.5  0.99297  1.48546e+08
 304.5  0.99271  1.48507e+08
 305.5  0.99245  1.48468e+08
 306.5  0.99219  1.48430e+08
 307.5  0.99194  1.48392e+08
 308.5  0.99168  1.48354e+08
 309.5  0.99143  1.48316e+08
 310.5  0.99119  1.48279e+08
 311.5  0.99094  1.48243e+08
 312.5  0.99070  1.48206e+08
 313.5  0.99046  1.48171e+08
 314.5  0.99022  1.48135e+08
 315.5  0.98999  1.48100e+08
 316.5  0.98976  1.48066e+08
 317.5  0.98953  1.48032e+08
 318.5  0.98931  1.47998e+08
 319.5  0.98908  1.47965e+08
 320.5  0.98887  1.47932e+08
 321.5  0.98865  1.47900e+08
 322.5  0.98844  1.47868e+08
 323.5  0.98823  1.47837e+08
 324.5  0.98803  1.47807e+08
 325.5  0.98782  1.47776e+08
 326.5  0.98763  1.47747e+08
 327.5  0.98743  1.47718e+08
 328.5  0.98724  1.47690e+08
 329.5  0.98706  1.47662e+08
 330.5  0.98688  1.47635e+08
 331.5  0.98670  1.47608e+08
 332.5  0.98652  1.47582e+08
 333.5  0.98635  1.47556e+08
 334.5  0.98619  1.47532e+08
 335.5  0.98603  1.47507e+08
 336.5  0.98587  1.47484e+08
 337.5  0.98572  1.47461e+08
 338.5  0.98557  1.47439e+08
 339.5  0.98542  1.47417e+08
 340.5  0.98528  1.47396e+08
 341.5  0.98515  1.47376e+08
 342.5  0.98501  1.47356e+08
 343.5  0.98489  1.47337e+08
 344.5  0.98477  1.47319e+08
 345.5  0.98465  1.47301e+08
 346.5  0.98454  1.47285e+08
 347.5  0.98443  1.47268e+08
 348.5  0.98433  1.47253e+08
 349.5  0.98423  1.47238e+08
 350.5  0.98413  1.47224e+08
 351.5  0.98404  1.47211e+08
