         216
307.2208  -0.28138D-02
307.5157  -0.23615D-02
307.8095  -0.11585D-02
308.1021  -0.31326D-03
308.3937  -0.11747D-02
312.3575   0.16699D-02
312.5153  -0.56328D-03
312.6730  -0.11992D-02
312.8306  -0.13373D-02
312.9881  -0.15755D-02
313.1456  -0.66278D-03
313.3030   0.11926D-02
313.4603   0.23723D-02
313.6176   0.12335D-02
313.7747  -0.19089D-02
313.9318  -0.46186D-02
314.0889  -0.51958D-02
314.2458  -0.21331D-02
314.4027   0.48572D-02
314.5595   0.97399D-02
314.7162   0.55340D-02
314.8729  -0.11051D-02
315.0295  -0.45432D-02
315.1860  -0.56975D-02
315.3425  -0.51130D-02
315.4988  -0.32153D-02
315.6552   0.12817D-02
315.8113   0.82408D-02
315.9675   0.13649D-01
316.1236   0.11699D-01
316.2796   0.53615D-02
316.4355   0.78240D-03
316.5914  -0.13109D-02
316.7472  -0.17641D-02
317.0585  -0.41254D-02
317.2141  -0.58946D-02
317.3696  -0.62704D-02
317.5251  -0.54106D-02
317.8357   0.36511D-04
318.1461   0.11772D-01
318.3011   0.10051D-01
318.4561   0.47994D-02
318.6111   0.58583D-04
318.7659  -0.37382D-02
318.9207  -0.58689D-02
319.0754  -0.46020D-02
319.3846   0.60060D-02
319.5392   0.62544D-02
319.6936   0.27931D-02
319.8480   0.66211D-04
320.0023  -0.11993D-02
320.1565  -0.16290D-02
320.3106  -0.26821D-02
320.4647  -0.45669D-02
320.6187  -0.55463D-02
320.7726  -0.47503D-02
320.9265  -0.17626D-02
321.0803   0.29420D-02
321.2340   0.73556D-02
321.3877   0.83175D-02
321.5413   0.54828D-02
321.6948   0.10528D-02
321.8482  -0.27433D-02
322.0016  -0.44221D-02
322.1549  -0.37883D-02
322.3082  -0.20028D-02
322.4613  -0.14126D-03
322.6144   0.21803D-02
322.7675   0.56164D-02
323.0733   0.47171D-02
323.2261   0.10365D-02
323.3788  -0.22970D-03
323.5315   0.62046D-03
323.6841   0.85243D-03
323.8367  -0.40960D-03
323.9891  -0.20961D-02
324.1415  -0.30012D-02
324.4461  -0.26671D-02
324.5983  -0.19060D-02
324.7504   0.33090D-03
324.9025   0.35412D-02
325.0545   0.52545D-02
325.2064   0.43281D-02
325.3582   0.23808D-02
325.5100  -0.15499D-03
325.6617  -0.23267D-02
325.8134  -0.36890D-02
325.9650  -0.40410D-02
326.1165  -0.36818D-02
326.2679  -0.24130D-02
326.4193  -0.52204D-03
326.5706   0.19393D-03
326.8730  -0.15240D-02
327.0240  -0.82073D-03
327.1751   0.46645D-03
327.3260   0.56084D-03
327.4769  -0.37424D-03
327.6277  -0.56964D-03
327.7785   0.42547D-03
327.9292   0.15085D-02
328.0798   0.18701D-02
328.2304   0.16599D-02
328.3809   0.14488D-02
328.5313   0.24594D-02
328.6816   0.42441D-02
328.8319   0.41472D-02
328.9821   0.12451D-02
329.1323  -0.16648D-02
329.2824  -0.29626D-02
329.4324  -0.32451D-02
329.5823  -0.32244D-02
